DATA,CDI_NI,PTAX,IBOV,IRF-M,IMA-S,IMA-C,IMA-B,IMA-B 5,IMA-B 5+,IRF-M 1,IRF-M 1+
2009-10-22,8.747713775076292,1.7304,66135.0,4209.17393,1799.839847,1999.035263,1980.568948,1933.741834,2163.282774,4146.344206,4336.658413
2009-10-23,8.750584512305858,1.7113,65058.0,4213.442147,1800.432789,2000.242856,1981.88594,1934.861453,2164.899864,4148.152052,4342.29226
2009-10-26,8.753456191625261,1.7157,65086.0,4215.271942,1801.025018,2002.373368,1984.550839,1935.92954,2169.458516,4149.367547,4344.479286
2009-10-27,8.756328813343666,1.7342,63131.0,4220.658129,1801.617924,2004.894965,1986.565603,1937.369986,2172.225012,4151.067705,4351.882504
2009-10-28,8.759202377770341,1.7447,60162.0,4220.20987,1802.211885,2005.839284,1985.677445,1937.379857,2170.31265,4152.583788,4350.414112
2009-10-29,8.762073644309774,1.7436,63721.0,4220.284638,1802.805199,2006.643899,1984.175849,1937.335283,2167.145265,4153.695865,4349.957224
2009-10-30,8.764949094017627,1.744,61546.0,4217.250432,1803.398636,2007.451265,1981.878545,1936.846067,2162.748269,4154.647995,4344.796759
2009-11-03,8.76782548736181,1.7588,62643.0,4222.718652,1803.991752,2008.063704,1984.321453,1938.752327,2165.93202,4156.6284,4352.176567
2009-11-04,8.770706068747428,1.7271,63913.0,4224.991147,1804.585703,2009.234603,1984.792217,1939.41984,2166.222453,4158.215538,4354.851804
2009-11-05,8.773587596519253,1.724,64816.0,4229.848997,1805.179566,2010.458568,1985.878323,1940.92501,2166.930035,4159.976319,4361.407123
2009-11-06,8.776470070988212,1.7179,64466.0,4233.125587,1805.773848,2011.67837,1986.24047,1941.646035,2166.930083,4161.339136,4365.738839
2009-11-09,8.779353492465335,1.7024,66214.0,4233.537544,1806.368099,2013.021024,1985.47296,1941.427025,2165.521111,4162.554607,4365.752938
2009-11-10,8.782237861261748,1.7096,66303.0,4235.391268,1806.962647,2013.698326,1985.963509,1942.019873,2165.93436,4163.866948,4367.923177
2009-11-11,8.785123177688687,1.7112,66431.0,4236.418863,1807.557527,2014.326254,1983.587997,1942.437699,2160.394507,4165.173318,4368.83285
2009-11-12,8.788012604701828,1.725,64448.0,4233.680591,1808.152527,2014.14753,1980.646037,1942.357723,2154.183261,4166.285626,4364.080879
2009-11-13,8.790899818362977,1.729,65326.0,4236.231249,1808.748012,2014.307922,1981.241917,1942.891679,2154.885531,4167.489627,4367.371995
2009-11-16,8.793787980589302,1.7127,66627.0,4238.049127,1809.343255,2013.926584,1982.537598,1943.780574,2156.70507,4168.871233,4369.449555
2009-11-17,8.796677091692445,1.7153,67406.0,4241.326027,1809.938762,2014.380598,1990.450872,1944.900692,2172.236327,4170.590555,4373.580171
2009-11-18,8.799563897213625,1.7103,66516.0,4241.945101,1810.536105,2014.667143,1996.765043,1945.516612,2184.918813,4172.159939,4373.738187
2009-11-19,8.802451650097774,1.7287,66327.0,4244.511383,1811.131105,2015.153337,1998.060484,1946.424455,2186.705848,4173.64491,4376.903793
2009-11-20,8.805340350655786,1.7356,,4246.205062,1811.72727,2016.739387,1998.84652,1947.162298,2187.595171,4175.041187,4378.782746
2009-11-23,8.80823325717459,1.7245,66809.0,4247.056489,1812.323082,2016.954703,1999.753743,1948.118572,2188.512448,4176.485301,4379.362051
2009-11-24,8.811120596036293,1.7282,67317.0,4250.397763,1812.919555,2018.139009,2000.86479,1949.214314,2189.714411,4178.087117,4383.636141
2009-11-25,8.814018573600329,1.7272,67917.0,4252.72642,1813.5164,2018.62386,2001.753021,1949.734723,2191.04614,4179.36164,4386.537075
